Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
IL;70314; Gries im Sellrain     ;24.762;28.477;28.076;28.227;27.603;26.932;26.160;26.285;26.439;26.911;25.999;24.983;24.590;25.824;23.839;24.035;23.458;23.620;25.404;23.094;18.463;469;17.217;18.562;;;;;
IL;70315; Grinzens              ;373;352;393;299;135;148;413;1.023;981;927;1.458;1.210;878;375;606;774;1.302;1.713;1.428;894;1.175;435;877;1.849;;;;;
IL;70317; Gschnitz              ;15.761;16.742;15.910;13.927;13.742;10.949;9.213;10.399;12.801;10.792;11.004;9.648;10.550;10.159;9.768;11.666;14.347;13.859;14.065;11.467;10.041;181;6.393;7.686;;;;;
IL;70318; Hatting               ;1.205;982;1.283;1.362;1.116;2.303;1.984;2.076;1.509;1.836;1.758;1.869;2.310;1.845;2.024;2.079;2.073;2.185;1.841;2.044;1.849;771;1.321;1.357;;;;;
IL;70319; Inzing                ;4.155;6.122;5.154;4.182;3.793;4.584;4.671;5.079;4.292;4.945;4.895;4.009;4.189;5.281;5.301;4.515;5.462;4.264;5.489;4.731;4.254;2.666;3.723;4.750;;;;;
IL;70320; Kematen in Tirol      ;5.772;6.062;6.304;6.773;7.089;6.689;7.057;6.768;7.712;7.379;6.806;7.309;7.186;7.710;6.892;6.531;6.991;8.200;7.758;8.121;7.060;3.738;3.889;7.082;;;;;
IL;70322; Kolsass               ;2.633;3.131;3.688;5.196;5.365;5.796;9.317;9.608;7.579;6.892;7.644;8.757;8.630;8.288;6.958;8.282;8.833;9.719;10.676;12.279;8.495;2.630;6.672;8.109;;;;;
IL;70323; Kolsassberg           ;8.135;7.318;9.649;11.144;10.858;13.185;15.522;15.165;15.917;13.864;13.920;14.311;14.464;15.140;14.840;16.354;17.590;16.074;17.138;17.478;14.560;2.266;13.335;18.719;;;;;
IL;70325; Lans                  ;17.642;19.200;18.114;17.106;19.668;20.526;21.641;21.021;21.961;22.057;22.311;23.449;41.160;42.260;38.833;39.459;39.400;38.511;41.094;41.988;31.973;30.772;38.432;43.732;;;;;
IL;70326; Leutasch              ;331.121;329.285;326.680;323.857;308.582;315.946;295.132;263.463;278.056;270.039;259.745;249.030;254.929;271.330;260.858;254.411;257.108;247.890;257.761;257.575;245.576;1.388;209.052;222.383;;;;;
IL;70328; Mieders               ;40.139;47.329;43.047;51.394;47.621;43.961;43.645;42.479;43.101;37.061;32.940;29.980;32.595;32.623;33.232;35.268;35.661;35.366;35.828;36.084;28.207;685;23.631;34.558;;;;;
IL;70329; Mils                  ;16.787;21.439;16.821;14.233;14.179;11.603;12.097;11.285;12.865;11.893;10.607;8.944;10.049;10.949;10.169;9.256;9.777;12.126;12.461;11.519;9.939;2.357;7.533;12.460;;;;;
IL;70331; Mutters               ;23.737;22.900;25.515;25.648;23.612;28.626;30.714;29.316;34.082;28.955;28.390;27.009;28.512;23.970;23.246;22.992;25.664;30.941;39.087;38.501;29.553;4.020;26.264;44.330;;;;;
IL;70332; Natters               ;7.558;7.006;8.652;8.569;9.359;8.980;8.791;8.351;11.299;11.829;10.827;12.714;14.216;9.738;8.509;10.316;10.905;13.608;14.865;17.085;8.611;1.097;14.877;16.421;;;;;
IL;70333; Navis                 ;7.541;7.377;7.202;8.870;6.910;6.871;6.715;5.204;6.664;6.120;4.771;4.147;5.683;5.373;5.356;5.513;5.763;9.027;9.081;10.440;7.084;1.824;7.193;8.920;;;;;
IL;70334; Neustift im Stubaital ;680.836;712.041;730.841;816.866;816.633;776.659;751.803;764.210;796.771;760.182;741.599;749.414;776.219;768.087;757.795;771.476;794.228;815.784;793.777;790.384;599.547;6.042;578.346;675.486;;;;;
IL;70335; Oberhofen im Inntal   ;1.596;1.832;1.911;1.916;1.495;1.872;1.548;1.584;2.266;2.226;1.266;1.020;1.162;1.233;1.156;933;1.132;819;1.044;1.765;1.282;200;399;466;;;;;
IL;70336; Obernberg am Brenner  ;16.393;16.107;15.617;15.384;14.280;14.150;13.959;10.944;10.497;10.447;9.413;8.149;10.047;9.530;10.554;11.108;11.315;12.804;14.807;14.520;13.615;394;12.656;14.204;;;;;
IL;70337; Oberperfuss           ;19.259;18.742;18.561;19.435;20.881;22.413;23.353;22.755;25.180;22.540;21.523;23.941;22.637;25.447;26.649;22.204;24.135;21.997;25.551;22.613;20.655;2.225;17.212;25.214;;;;;
