Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
SZ;70903; Brandberg             ;14.806;17.124;21.532;25.664;24.246;24.669;23.683;21.843;26.222;23.560;22.500;21.938;23.293;24.297;20.839;22.558;23.833;22.356;24.613;22.223;20.286;47;14.569;20.737;;;;;
SZ;70904; Bruck am Ziller       ;13.318;14.388;13.615;16.479;16.069;14.724;14.918;15.954;16.050;15.944;19.671;23.887;23.200;24.259;26.558;25.755;23.919;22.552;23.156;20.978;18.347;985;13.031;19.765;;;;;
SZ;70905; Buch bei Jenbach      ;6.225;5.668;6.544;5.630;5.050;5.302;7.278;7.004;8.048;7.642;6.158;7.254;7.367;8.715;8.234;7.905;8.260;7.867;9.663;7.068;8.768;4.453;5.884;7.912;;;;;
SZ;70907; Eben am Achensee      ;347.066;358.982;348.921;358.942;363.567;375.078;379.462;359.762;360.586;368.760;369.957;366.748;383.276;391.623;374.316;363.808;381.510;372.804;386.622;399.160;345.449;2.975;324.903;375.470;;;;;
SZ;70908; Finkenberg            ;164.983;184.737;198.447;207.251;208.692;209.679;221.731;234.158;238.310;246.410;241.446;232.153;234.806;234.597;223.185;235.097;236.531;236.021;238.119;237.737;193.427;720;196.537;224.067;;;;;
SZ;70909; Fügen                 ;212.449;225.074;237.019;245.584;248.642;264.850;280.159;289.745;300.507;310.989;305.966;295.322;286.299;291.996;267.021;280.538;306.034;312.368;339.448;341.492;283.430;7.093;247.114;308.356;;;;;
SZ;70910; Fügenberg             ;95.006;114.121;110.877;131.738;117.325;143.662;154.441;153.418;162.055;159.629;153.568;145.271;154.231;164.743;158.130;156.939;163.996;166.390;171.170;172.301;148.434;469;128.274;165.990;;;;;
SZ;70911; Gallzein              ;1.646;1.217;1.074;1.401;1.116;1.917;1.807;1.106;1.848;1.534;1.004;1.653;1.909;1.489;2.590;2.102;1.542;1.728;2.283;1.744;1.525;84;1.396;2.334;;;;;
SZ;70912; Gerlos                ;307.409;314.199;329.604;326.351;343.404;374.224;364.513;364.492;397.269;423.251;418.199;402.967;409.311;414.375;396.300;413.671;427.729;424.974;441.108;440.259;376.680;497;371.375;438.760;;;;;
SZ;70913; Gerlosberg            ;27.769;30.364;33.039;35.837;36.748;38.999;39.740;41.378;51.334;54.028;56.259;57.144;57.554;58.445;58.521;61.571;65.058;64.065;68.504;66.456;57.032;243;49.942;62.319;;;;;
SZ;70914; Hainzenberg           ;44.319;40.327;44.534;51.753;53.996;59.407;58.618;60.859;68.052;72.406;74.366;72.848;74.040;69.945;67.759;68.717;70.313;64.761;68.022;65.638;60.198;38;45.855;67.851;;;;;
SZ;70915; Hart im Zillertal     ;32.293;36.058;38.659;41.321;41.111;42.474;44.471;43.337;52.381;49.782;49.220;45.959;49.370;54.531;50.227;54.313;59.072;56.319;62.162;62.700;53.317;1.036;47.218;66.140;;;;;
SZ;70916; Hippach               ;89.899;97.549;109.352;119.043;122.416;131.370;138.645;142.217;151.346;156.977;156.271;146.542;163.063;172.962;155.117;164.650;172.913;163.810;170.943;166.517;141.393;2.056;128.701;155.970;;;;;
SZ;70917; Jenbach               ;12.175;12.357;12.164;12.798;11.285;10.231;14.205;13.659;14.761;13.491;11.456;14.377;14.005;14.996;13.100;12.954;10.398;11.464;11.515;13.242;8.352;1.674;7.339;10.434;;;;;
SZ;70918; Kaltenbach            ;93.339;99.260;106.620;112.352;115.034;126.774;132.209;127.905;140.708;155.069;153.566;154.345;157.090;157.291;148.397;164.733;173.949;169.558;190.797;189.705;159.408;321;160.185;187.177;;;;;
SZ;70920; Mayrhofen             ;729.836;730.752;771.232;780.454;782.699;799.695;815.648;821.629;851.532;878.744;895.775;863.542;909.864;923.819;865.894;857.358;878.276;861.241;899.101;868.530;706.436;1.915;698.858;824.241;;;;;
SZ;70921; Pill                  ;18.391;19.811;17.314;20.680;19.467;21.175;21.479;19.024;22.528;20.490;17.333;15.049;21.639;22.774;19.798;19.742;16.181;16.436;22.483;21.173;20.490;909;16.145;23.090;;;;;
SZ;70922; Ramsau im Zillertal   ;74.828;77.256;89.161;99.217;101.604;106.104;106.779;108.992;113.387;114.867;113.273;107.237;112.206;119.262;116.341;119.372;120.874;115.556;123.228;120.976;100.843;577;99.537;118.993;;;;;
SZ;70923; Ried im Zillertal     ;85.191;98.394;101.061;101.452;103.572;114.455;111.732;106.937;119.016;120.190;122.424;118.058;122.826;128.516;110.559;115.104;115.202;117.331;119.664;119.444;99.914;303;86.232;104.525;;;;;
SZ;70924; Rohrberg              ;26.088;28.851;30.823;32.763;32.907;33.323;32.497;34.878;34.974;36.036;37.103;39.605;40.733;42.757;40.470;50.522;56.324;55.439;55.800;57.239;50.483;68;50.101;55.642;;;;;
SZ;70925; Schlitters            ;16.836;19.027;19.075;19.699;21.423;23.867;21.289;26.051;23.756;21.620;22.674;22.310;23.404;28.961;21.863;23.598;28.098;26.109;28.876;18.817;16.478;263;13.094;19.828;;;;;
SZ;70926; Schwaz                ;10.172;9.017;9.288;8.977;9.503;10.324;11.598;9.252;7.868;7.113;14.175;14.172;17.360;15.349;13.328;15.652;15.012;12.297;14.548;13.113;12.615;3.969;8.830;17.193;;;;;
SZ;70927; Schwendau             ;137.268;141.841;159.326;167.668;167.321;167.117;168.496;170.223;179.178;180.026;183.108;176.381;183.960;188.285;174.454;186.206;181.773;182.326;197.497;193.681;152.569;638;146.411;164.916;;;;;
SZ;70928; Stans                 ;27.774;27.597;34.764;40.669;45.011;46.389;44.969;50.130;41.382;45.185;43.377;43.061;37.732;38.420;36.418;36.179;36.721;38.147;39.404;35.144;27.736;1.544;21.816;38.283;;;;;
SZ;70929; Steinberg am Rofan    ;12.098;8.316;17.134;3.809;4.750;5.050;9.535;6.230;5.448;6.267;5.954;6.635;6.461;6.171;6.071;5.249;4.988;5.262;6.894;7.128;5.908;19;5.490;6.967;;;;;
SZ;70930; Strass im Zillertal   ;24.898;27.035;25.493;29.060;30.645;33.305;29.479;32.450;37.279;34.360;33.213;35.641;36.103;29.333;25.916;25.925;27.217;25.270;24.331;25.006;23.480;3.926;17.574;24.433;;;;;
SZ;70931; Stumm                 ;76.737;81.690;93.795;100.709;99.135;120.176;118.165;123.508;134.621;137.111;129.960;122.005;130.401;139.203;129.247;135.321;137.811;134.030;142.843;136.350;119.803;1.524;104.847;130.691;;;;;
SZ;70932; Stummerberg           ;19.531;19.117;20.404;18.835;18.992;25.516;31.197;33.782;35.390;39.948;39.380;36.258;38.085;42.266;34.732;38.678;38.118;39.044;39.703;40.687;37.165;244;30.170;38.747;;;;;
SZ;70933; Terfens               ;978;612;1.370;1.159;1.897;723;3.628;1.400;2.568;1.575;4.163;1.754;2.614;2.247;1.776;1.969;2.704;3.171;4.346;4.258;4.618;1.532;4.352;4.920;;;;;
SZ;70934; Tux                   ;562.929;609.482;625.710;632.996;615.894;606.782;610.920;637.012;639.643;629.525;630.622;630.118;652.104;640.320;624.907;652.424;663.498;677.054;658.005;660.672;524.902;3.444;551.446;645.616;;;;;
SZ;70935; Uderns                ;78.140;80.492;85.943;86.313;87.991;88.671;96.633;93.521;95.173;99.171;103.858;95.227;105.489;105.906;103.087;107.601;102.478;97.997;104.422;94.093;83.857;1.608;77.617;92.778;;;;;
SZ;70936; Vomp                  ;15.651;11.603;21.340;8.736;9.614;14.833;17.161;15.406;14.171;14.908;12.711;12.169;15.886;14.492;10.939;12.312;12.573;14.185;14.506;12.754;11.885;2.655;6.995;11.478;;;;;
SZ;70937; Weer                  ;15.710;14.053;13.488;13.416;18.711;18.881;18.968;18.351;21.371;18.197;17.478;18.691;15.828;13.176;14.654;14.790;12.004;5.677;5.878;3.748;5.153;1.765;4.495;4.416;;;;;
SZ;70938; Weerberg              ;21.185;19.614;24.711;23.982;22.317;25.565;24.414;20.500;22.587;18.334;18.916;17.592;21.328;25.525;22.964;23.530;20.917;20.595;21.157;20.458;20.020;3.488;15.137;23.387;;;;;
SZ;70939; Wiesing               ;12.793;13.928;13.115;20.027;21.382;22.725;24.763;21.408;26.025;27.434;25.689;23.529;20.685;15.797;14.111;13.451;13.485;15.165;16.021;16.246;16.331;5.110;13.822;14.697;;;;;
SZ;70940; Zell am Ziller        ;153.540;163.296;163.625;173.832;176.543;172.788;179.048;180.465;199.387;209.702;199.344;196.297;213.177;216.870;212.465;205.328;206.586;204.593;204.489;200.047;173.821;1.571;161.689;200.164;;;;;
SZ;70941; Zellberg              ;40.718;42.654;42.850;48.285;48.573;51.772;48.612;49.166;54.556;51.066;57.016;53.703;56.257;58.966;55.522;58.705;59.109;60.215;65.224;63.059;56.643;273;51.393;60.502;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
